date,adjpoll_clinton,adjpoll_trump
2016-01-01,39.63585133333333,35.81790933333333
2016-01-02,40.41165333333333,34.96315533333333
2016-01-03,39.727426,35.46841866666667
2016-01-04,40.26284666666667,38.10855055555555
2016-01-05,40.05924444444445,38.346030000000006
2016-01-06,40.189049999999995,38.233161666666675
2016-01-07,40.38538944444444,37.97011777777779
2016-01-08,40.90402277777778,37.22202555555556
2016-01-09,42.53969809523809,37.75368142857143
2016-01-10,43.343288333333334,39.19051958333334
2016-01-11,43.00503666666666,36.43898222222223
2016-01-12,43.26728777777778,36.591683333333336
2016-01-13,43.17977277777778,36.59430944444445
2016-01-14,42.28970833333332,36.89898111111111
2016-01-15,42.035757777777775,37.118785
2016-01-16,41.69863444444444,37.47201611111111
2016-01-17,41.194721666666666,38.20882055555556
2016-01-18,39.87594733333333,38.107726666666665
2016-01-19,40.30166111111111,40.3182338888889
2016-01-20,40.84624722222222,40.171965000000014
2016-01-21,42.62605380952381,39.75104428571429
2016-01-22,43.13478238095239,39.19746333333334
2016-01-23,43.82953476190476,38.401020476190475
2016-01-24,44.18149238095238,37.90466523809524
2016-01-25,43.546157333333326,35.34188066666666
2016-01-26,43.53915133333333,35.56647733333333
2016-01-27,43.811698666666665,35.510886666666664
2016-01-28,43.80369533333333,35.57491733333334
2016-01-29,44.155271333333324,35.41882666666667
2016-01-30,43.92662599999999,35.582679999999996
2016-01-31,43.138241333333326,36.266540666666664
2016-02-01,42.651199999999996,36.508949333333334
2016-02-02,43.13826333333333,38.05744761904763
2016-02-03,43.256957083333326,38.83966791666668
2016-02-04,43.156415238095235,38.44961238095239
2016-02-05,43.60853555555556,36.99448444444445
2016-02-06,43.753013333333335,36.92896444444445
2016-02-07,43.630951111111116,36.91435555555555
2016-02-08,42.78648866666667,35.937624666666665
2016-02-09,42.15968266666666,36.520965333333336
2016-02-10,41.666625,38.50428944444443
2016-02-11,42.06823041666666,39.818752499999995
2016-02-12,42.30008791666666,39.99537458333334
2016-02-13,42.631452499999995,39.934655416666665
2016-02-14,43.49199222222222,40.192447037037034
2016-02-15,43.6987,41.08486
2016-02-16,43.71366703703705,40.17527148148148
2016-02-17,41.90108555555555,38.60580722222222
2016-02-18,40.03605266666666,37.60132133333333
2016-02-19,39.82705133333333,37.22349466666666
2016-02-20,40.21790466666666,37.14630666666666
2016-02-21,40.68872666666667,37.32929466666666
2016-02-22,41.25923866666667,37.51177666666667
2016-02-23,41.64942866666667,37.73379599999999
2016-02-24,43.04960833333333,39.41269444444444
2016-02-25,43.124186111111115,39.463006666666665
2016-02-26,43.35915047619048,40.4957819047619
2016-02-27,43.537642380952384,40.20963857142857
2016-02-28,42.498836000000004,37.65276000000001
2016-02-29,42.27089666666667,36.73549166666666
2016-03-01,42.33248833333334,36.11467611111111
2016-03-02,43.220140666666666,34.97780933333334
2016-03-03,44.50785904761905,36.40178428571429
2016-03-04,44.715414166666676,36.59426166666667
2016-03-05,44.90133875,36.30124541666667
2016-03-06,44.90035500000001,36.383560833333334
2016-03-07,42.76823466666667,33.97437266666667
2016-03-08,42.40710400000001,35.22718
2016-03-09,41.604497333333335,36.439824
2016-03-10,40.774168333333336,38.91518277777778
2016-03-11,41.54403714285714,39.87457047619048
2016-03-12,41.472006666666665,39.99623285714286
2016-03-13,41.683509523809526,39.88411523809524
2016-03-14,40.90211777777778,40.02688722222223
2016-03-15,40.71917944444445,40.201037222222226
2016-03-16,41.23135333333334,40.74018
2016-03-17,43.5280717948718,41.05815076923078
2016-03-18,43.69262214285715,41.125374523809526
2016-03-19,44.240948095238096,40.54530666666667
2016-03-20,44.79852022222222,40.39612933333332
2016-03-21,45.04271923076923,39.79642102564102
2016-03-22,45.295727333333346,38.70043966666666
2016-03-23,44.582845416666665,38.467663333333334
2016-03-24,44.82895444444445,38.89354925925926
2016-03-25,43.786978095238105,37.98836857142857
2016-03-26,44.241874583333335,38.21030833333334
2016-03-27,44.46288277777778,36.12968333333334
2016-03-28,44.68266208333333,35.95754041666667
2016-03-29,44.81332111111111,36.69020481481482
2016-03-30,44.38989,35.99790708333334
2016-03-31,43.99386,36.65565370370369
2016-04-01,43.24976925925925,36.822517777777776
2016-04-02,42.91685074074073,36.897473703703696
2016-04-03,42.2435475,36.78686791666666
2016-04-04,41.24273933333333,34.912132
2016-04-05,41.54698199999999,34.90403466666666
2016-04-06,42.61380799999999,34.033393333333336
2016-04-07,43.74107333333334,33.58221266666666
2016-04-08,45.52211666666667,36.130044285714284
2016-04-09,45.714464761904765,36.27746571428571
2016-04-10,46.25589124999999,37.347670416666666
2016-04-11,46.28001266666667,38.89848666666667
2016-04-12,45.94351592592593,39.02592148148148
2016-04-13,45.42592375,38.48537625
2016-04-14,44.95746,37.66199666666666
2016-04-15,44.56115666666666,37.35242285714284
2016-04-16,44.758823333333325,36.9118519047619
2016-04-17,44.85283125,37.599902916666665
2016-04-18,43.83199428571429,36.83009761904762
2016-04-19,44.20712708333334,37.78143125
2016-04-20,45.10273333333334,38.665925666666666
2016-04-21,44.86017833333335,37.67701833333333
2016-04-22,44.88816133333334,38.886874000000006
2016-04-23,44.549674444444456,38.392674074074066
2016-04-24,44.352017037037044,38.591641481481474
2016-04-25,42.81511444444444,39.0172062962963
2016-04-26,43.343754999999994,39.74653133333334
2016-04-27,43.60100962962962,39.954978518518516
2016-04-28,44.91012499999999,40.16346066666667
2016-04-29,45.6903874074074,40.12628518518518
2016-04-30,45.95022041666667,39.392165416666664
2016-05-01,46.12017041666667,39.182052500000005
