date,rawpoll_clinton,rawpoll_trump
2016-01-01,41.739999999999995,36.78
2016-01-02,42.519999999999996,35.9
2016-01-03,41.839999999999996,36.38
2016-01-04,41.96666666666667,38.63333333333333
2016-01-05,41.766666666666666,38.85
2016-01-06,41.9,38.71666666666667
2016-01-07,42.1,38.43333333333333
2016-01-08,42.56666666666667,37.4
2016-01-09,44.15714285714286,37.55714285714286
2016-01-10,45.0,39.175
2016-01-11,45.01666666666667,36.65
2016-01-12,45.28333333333333,36.78333333333333
2016-01-13,45.199999999999996,36.766666666666666
2016-01-14,43.98333333333333,36.93333333333333
2016-01-15,43.73333333333333,37.13333333333333
2016-01-16,43.4,37.46666666666667
2016-01-17,42.9,38.18333333333333
2016-01-18,42.06,38.660000000000004
2016-01-19,42.38333333333333,40.416666666666664
2016-01-20,42.93333333333334,40.25
2016-01-21,44.34285714285714,39.728571428571435
2016-01-22,44.857142857142854,39.15714285714286
2016-01-23,45.55714285714286,38.34285714285714
2016-01-24,45.91428571428571,37.82857142857143
2016-01-25,45.78,35.72
2016-01-26,45.78,35.92
2016-01-27,46.06,35.839999999999996
2016-01-28,46.06,35.88
2016-01-29,46.42,35.7
2016-01-30,46.2,35.839999999999996
2016-01-31,45.42,36.5
2016-02-01,44.94,36.72
2016-02-02,45.128571428571426,38.01428571428572
2016-02-03,44.9375,38.35
2016-02-04,44.785714285714285,37.91428571428571
2016-02-05,45.449999999999996,36.51666666666667
2016-02-06,45.6,36.43333333333334
2016-02-07,45.48333333333333,36.4
2016-02-08,45.120000000000005,36.0
2016-02-09,44.5,36.56
2016-02-10,43.699999999999996,38.31666666666667
2016-02-11,43.9625,39.325
2016-02-12,44.2,39.4875
2016-02-13,44.5375,39.4125
2016-02-14,45.36666666666667,39.36666666666667
2016-02-15,45.190909090909095,39.85454545454545
2016-02-16,45.24444444444444,38.833333333333336
2016-02-17,43.9,38.11666666666667
2016-02-18,42.46,37.44
2016-02-19,42.260000000000005,37.04
2016-02-20,42.660000000000004,36.94
2016-02-21,43.14,37.1
2016-02-22,43.72,37.260000000000005
2016-02-23,44.12,37.46
2016-02-24,45.43333333333334,39.15
2016-02-25,45.51666666666667,39.18333333333333
2016-02-26,45.371428571428574,39.67142857142857
2016-02-27,45.55714285714286,39.371428571428574
2016-02-28,45.019999999999996,37.28
2016-02-29,44.666666666666664,36.300000000000004
2016-03-01,44.73333333333333,35.666666666666664
2016-03-02,45.760000000000005,34.56
2016-03-03,46.971428571428575,35.4
2016-03-04,46.8375,35.2
2016-03-05,47.025,34.9
2016-03-06,47.025,34.975
2016-03-07,45.32,33.5
2016-03-08,44.96,34.739999999999995
2016-03-09,44.160000000000004,35.94
2016-03-10,43.1,38.166666666666664
2016-03-11,43.5,38.628571428571426
2016-03-12,43.42857142857143,38.74285714285714
2016-03-13,44.01428571428572,38.42857142857143
2016-03-14,43.666666666666664,39.016666666666666
2016-03-15,43.48333333333333,39.18333333333333
2016-03-16,43.35,39.225
2016-03-17,45.45384615384615,39.400000000000006
2016-03-18,45.32142857142857,39.285714285714285
2016-03-19,46.050000000000004,38.971428571428575
2016-03-20,46.486666666666665,38.733333333333334
2016-03-21,46.97692307692308,38.246153846153845
2016-03-22,47.58,37.589999999999996
2016-03-23,47.1375,37.4625
2016-03-24,47.0,37.36666666666667
2016-03-25,45.800000000000004,36.65714285714286
2016-03-26,46.1125,36.7625
2016-03-27,46.63333333333333,35.11666666666667
2016-03-28,46.4375,34.5875
2016-03-29,46.63333333333333,35.099999999999994
2016-03-30,46.3,34.475
2016-03-31,45.833333333333336,35.12222222222223
2016-04-01,44.74444444444444,35.144444444444446
2016-04-02,44.400000000000006,35.21111111111111
2016-04-03,44.0125,35.2375
2016-04-04,43.480000000000004,34.02
2016-04-05,43.760000000000005,34.0
2016-04-06,44.8,33.120000000000005
2016-04-07,45.9,32.660000000000004
2016-04-08,47.0,34.4
2016-04-09,47.17142857142857,34.542857142857144
2016-04-10,47.6625,35.325
2016-04-11,47.510000000000005,36.760000000000005
2016-04-12,47.37777777777777,37.15555555555556
2016-04-13,46.9625,36.737500000000004
2016-04-14,46.75714285714286,36.1
2016-04-15,46.028571428571425,35.7
2016-04-16,46.199999999999996,35.25714285714286
2016-04-17,46.2625,36.0375
2016-04-18,45.51428571428572,35.7
2016-04-19,45.7875,36.35
2016-04-20,46.38,36.93
2016-04-21,46.125,36.0625
2016-04-22,45.72,37.06
2016-04-23,45.577777777777776,36.87777777777777
2016-04-24,45.355555555555554,37.077777777777776
2016-04-25,43.666666666666664,37.51111111111111
2016-04-26,43.94,37.93
2016-04-27,44.21111111111111,38.2
2016-04-28,45.5,38.510000000000005
2016-04-29,46.266666666666666,38.24444444444444
2016-04-30,46.75,37.85
2016-05-01,46.8875,37.637499999999996
2016-05-02,46.74285714285714,38.0
2016-05-03,46.63333333333333,37.63333333333333
2016-05-04,45.86666666666667,37.766666666666666
2016-05-05,44.42857142857143,38.48571428571428
2016-05-06,43.32222222222222,39.02222222222222
2016-05-07,43.13333333333333,39.18888888888889
2016-05-08,42.67777777777778,39.611111111111114
2016-05-09,42.611111111111114,39.97777777777778
2016-05-10,44.042857142857144,41.41428571428571
2016-05-11,43.6875,40.25
2016-05-12,42.233333333333334,39.599999999999994
2016-05-13,42.989999999999995,39.53
2016-05-14,42.654545454545456,39.49090909090909
2016-05-15,42.85,39.65833333333333
2016-05-16,43.833333333333336,40.675000000000004
2016-05-17,43.3,40.94615384615384
2016-05-18,43.29090909090909,40.690909090909095
2016-05-19,43.28181818181818,40.11818181818182
