,bias-1,positive-1,figurative-0,offensive-1
2016-08-30,0.23492083817656767,0.10568628696828625,0.6090692013814218,0.34000914945612964
2016-08-31,0.24089429081790148,0.10728727147943572,0.6060823010709137,0.3430754733861929
2016-09-01,0.2423293984942136,0.09924536391719506,0.5860284452673538,0.35128270715354265
2016-09-02,0.23614816116464918,0.09945321551526426,0.5843091601248012,0.3503633909181592
2016-09-03,0.23340029846265428,0.09748844735245614,0.5895195778033837,0.36167231787041537
2016-09-04,0.23508224286727422,0.10112883315074245,0.5956821600375566,0.3535421100005019
2016-09-05,0.23989750006174024,0.10238728360632746,0.586894860813534,0.3509538534742223
2016-09-06,0.23881920100935633,0.10096573426590791,0.5916944689563766,0.34395230815890654
2016-09-07,0.23524342184543423,0.10246023492130509,0.5934554953721052,0.34482849115943837
2016-09-08,0.238991492517598,0.09857363140140567,0.5807887865162671,0.35328250265842764
2016-09-09,0.24002517971277987,0.10012136712683395,0.5915616675840695,0.3557395162632889
2016-09-10,0.2517469393778071,0.10635497617148588,0.5637599567784458,0.39498289317970153
2016-09-11,0.24369678590090862,0.09994709380559931,0.5682686111795536,0.34482386633600887
2016-09-12,0.25188637951606846,0.09632799104081165,0.5791417217553939,0.3221498876870646
2016-09-13,0.24667287391011436,0.09882412346348729,0.5801801140680312,0.33873427012787893
2016-09-14,0.2375886674795194,0.0955238964448719,0.5812390811546781,0.33603052970341923
2016-09-15,0.24532176593979282,0.10480208584174787,0.5755422656175502,0.3316714570122116
2016-09-16,0.2531476217541894,0.10339544805097228,0.5883220325919318,0.35007292901180165
2016-09-17,0.24091501358734696,0.0952795196787088,0.5943478525202325,0.3619785228387255
2016-09-18,0.24579022684443647,0.10428606126431778,0.5901101153249123,0.36557742604411697
2016-09-19,0.24393067102108587,0.10674375157031198,0.5950136358199977,0.37107693237801076
2016-09-20,0.24585042397392207,0.10702995277470607,0.5926520600896017,0.35010921066308265
2016-09-21,0.24582330070367844,0.10132612224852854,0.6084146962278072,0.3572554699140317
2016-09-23,0.24399055759293933,0.11120827858684,0.6021635712851676,0.34152787687391545
2016-09-24,0.24525123973392732,0.11235508586888594,0.6005576499832087,0.3494522853500195
2016-09-25,0.24751663930275547,0.11665614359485889,0.6009517225585528,0.3517476532085563
2016-09-26,0.26534747016531407,0.12588582136325663,0.6047335597417638,0.3355867871861709
2016-09-27,0.26251261330815007,0.12991872313549097,0.5864652765718134,0.3140877536577698
2016-09-28,0.244149754551367,0.11087571686719365,0.6025970597604973,0.3492484477817505
2016-09-29,0.2428569415670739,0.10455987685283985,0.5970277553159831,0.351952315054895
2016-09-30,0.24027360493450656,0.10023436524595536,0.6008996192030304,0.3682767904965516
2016-10-01,0.24384181104602204,0.10420488150116884,0.586656447364733,0.36191477016933615
2016-10-02,0.22825380866554698,0.0953870374435286,0.588882223014286,0.3529606807386039
2016-10-03,0.22472983548884143,0.09655640086327617,0.5849807854887848,0.3407597890803357
2016-10-04,0.23152088407521512,0.09957355192988279,0.5869171555600229,0.35366974470613105
2016-10-05,0.24592502080365078,0.10036393151787149,0.5805843194451847,0.35463434424170054
2016-10-06,0.24148456746571217,0.10533010231726563,0.5951309107566165,0.34717948071261673
2016-10-07,0.2373581099013822,0.09819564472799307,0.5927896885852403,0.3741428013832099
2016-10-08,0.2437501635000937,0.08451373850323077,0.6008735828425843,0.41837675483436376
2016-10-09,0.247062388891734,0.09363437604529454,0.6156540726810843,0.39458709738178155
2016-10-10,0.2554688574631538,0.10920502496561955,0.5920104744803699,0.3506444011795372
2016-10-11,0.24039203585778993,0.10305809975341787,0.6045679591420398,0.3618201849128575
2016-10-12,0.24117645364994064,0.10757451014417477,0.6060654638706464,0.35725115614351777
2016-10-13,0.24469019177519089,0.10268096332442106,0.6081464002203891,0.36564163645395864
2016-10-14,0.24673072179161776,0.10301096074188709,0.6072651359659125,0.36427893803802197
2016-10-15,0.2428789383121263,0.09997940916178681,0.6109493139759586,0.3748231473450199
2016-10-16,0.24097447191356883,0.10429817572843411,0.6216102113765865,0.36437446469177465
2016-10-17,0.23991556394207142,0.10428642646574515,0.6204573088779128,0.36512223194981114
2016-10-18,0.24198241004288235,0.10656818352472452,0.6174103545523109,0.36150317878193783
2016-10-19,0.2485031738220757,0.1136784000293939,0.6147171140793352,0.34968053947238653
2016-10-20,0.25482199321259935,0.11579869857322929,0.5935361024574891,0.35041453606302586
2016-10-21,0.2512639426601859,0.12235135597102459,0.5818582779186007,0.33605994584863946
2016-10-22,0.246829093169121,0.112771719591774,0.6039069440686196,0.3456735639020786
2016-10-23,0.24801467112491615,0.12218391736817551,0.6065857769473014,0.3431313989806735
2016-10-24,0.24557097181805454,0.1149053030848026,0.6140646093698579,0.34681024872986665
2016-10-25,0.24610728162929535,0.10880663402433076,0.6082026669801694,0.34860310506173603
2016-10-26,0.24403123159966492,0.14974498480865886,0.6070086160147986,0.32046485856055257
2016-10-27,0.2503657617541891,0.1190015944078626,0.6063713425397631,0.3394344035706752
2016-10-28,0.23311846563353655,0.10502301297935199,0.593791035487978,0.33786986096432586
2016-10-29,0.2370706560917655,0.10720437349002314,0.5895787062178491,0.3461410237692043
2016-10-30,0.23480883524732382,0.10659812315028953,0.5967936107624652,0.3474697158436784
2016-10-31,0.23233537325266784,0.10366115197278813,0.5921747187128108,0.34897361525366577
2016-11-01,0.23453124195047903,0.10061677406484927,0.5845553014286349,0.3545785517498897
2016-11-02,0.2470646883338526,0.1147801606137211,0.6044347442119518,0.3589980245438246
2016-11-03,0.25099866388494724,0.11751881129110943,0.5972078393497807,0.35183540959391024
2016-11-04,0.24816473226220323,0.11396358695059207,0.6025558115927667,0.3589707489543594
2016-11-05,0.2543501716610359,0.12218390903867127,0.5987464762661998,0.35651742770568007
2016-11-06,0.24871264211594685,0.12311999286405166,0.6034748596709748,0.3484059624675264
2016-11-07,0.26861912045373654,0.14392984832759984,0.6166841743145764,0.32204008614045765
2016-11-08,0.3071408427306084,0.1872160819222786,0.6147862429729335,0.2813636691988137
2016-11-09,0.30864515689309613,0.17705411880908534,0.6049254458993565,0.27823413199816904
2016-11-10,0.288593443884256,0.1459501780395019,0.616091284108854,0.29210991135911546
2016-11-11,0.27213912368215903,0.1290031992185218,0.6210697723467924,0.3145701651049421
2016-11-12,0.2641492972516692,0.12297693715003498,0.6201324278043931,0.32228161850912207
2016-11-13,0.259876395317703,0.1262276495501996,0.6162640450826731,0.3264043566963061
2016-11-14,0.25606150206960093,0.11485445513935291,0.6159513617774565,0.3225629002618723
2016-11-15,0.25924887095867505,0.12409995167530054,0.6137490786911121,0.32128411468593693
2016-11-16,0.25986579178809593,0.12956134678428402,0.6138905480965051,0.30977690958201726
2016-11-17,0.26722375512166036,0.1262906777188746,0.6081115660519515,0.3073853850438022
2016-11-18,0.25872812667290646,0.11531347122206458,0.6130737929770839,0.33005605921535736
